Category	Variants	Gene
Splice-altering	1	A2ML1
Splice-altering	1	AACS
Splice-altering	1	AADAT
Splice-altering	1	AAGAB
Splice-altering	1	AAMDC
Splice-altering	1	AAMP
Splice-altering	1	AAR2
Splice-altering	1	AARS2
Splice-altering	1	AARSD1
Splice-altering	1	AASDH
Splice-altering	1	AATK
Splice-altering	1	ABALON
Splice-altering	1	ABAT
Splice-altering	1	ABCA3
Splice-altering	1	ABCA5
Splice-altering	1	ABCA6
Splice-altering	1	ABCB1
Splice-altering	1	ABCB6
Splice-altering	1	ABCB7
Splice-altering	1	ABCB8
Splice-altering	1	ABCC10
Splice-altering	1	ABCC5
Splice-altering	1	ABCC6P1
Splice-altering	1	ABCD1
Splice-altering	1	ABCF1
Splice-altering	1	ABCF2
Splice-altering	1	ABCF2-H2BK1
Splice-altering	1	ABCG2
Splice-altering	1	ABHD11
Splice-altering	1	ABHD18
Splice-altering	1	ABHD2
Splice-altering	1	ABHD8
Splice-altering	1	ABI1
Splice-altering	1	ABL1
Splice-altering	1	ABLIM3
Splice-altering	1	ABTB2
Splice-altering	1	ABTB3
Splice-altering	1	ACAD10
Splice-altering	1	ACADL
Splice-altering	1	ACADSB
Splice-altering	1	ACAP2
Splice-altering	1	ACAT1
Splice-altering	1	ACAT2
Splice-altering	1	ACBD4
Splice-altering	1	ACE
Splice-altering	1	ACE2
Splice-altering	1	ACER3
Splice-altering	1	ACIN1
Splice-altering	1	ACO1
Splice-altering	1	ACOT12
Splice-altering	1	ACOT13
Splice-altering	1	ACOT7
Splice-altering	1	ACOT8
Splice-altering	1	ACOX2
Splice-altering	1	ACOX3
Splice-altering	1	ACOXL
Splice-altering	1	ACP2
Splice-altering	1	ACP3
Splice-altering	1	ACSBG1
Splice-altering	1	ACSL4
Splice-altering	1	ACSL5
Splice-altering	1	ACSM1
Splice-altering	1	ACSM2A
Splice-altering	1	ACSS1
Splice-altering	1	ACTL6A
Splice-altering	1	ACTN3
Splice-altering	1	ACTR10
Splice-altering	1	ACTR1A
Splice-altering	1	ACTR3
Splice-altering	1	ACVR1
Splice-altering	1	ACVR2A
Splice-altering	1	ADA
Splice-altering	1	ADAM12
Splice-altering	1	ADAM15
Splice-altering	1	ADAM22
Splice-altering	1	ADAM23
Splice-altering	1	ADAM28
Splice-altering	1	ADAM9
Splice-altering	1	ADAMDEC1
Splice-altering	1	ADAMTS13
Splice-altering	1	ADAMTS17
Splice-altering	1	ADAMTS20
Splice-altering	1	ADAMTS4
Splice-altering	1	ADAMTS7
Splice-altering	1	ADAMTSL2
Splice-altering	1	ADAMTSL4
Splice-altering	1	ADCK1
Splice-altering	1	ADCY1
Splice-altering	1	ADCY3
Splice-altering	1	ADCY7
Splice-altering	1	ADGRB1
Splice-altering	1	ADGRE5
Splice-altering	1	ADGRF5
Splice-altering	1	ADGRG6
Splice-altering	1	ADH1B
Splice-altering	1	ADHFE1
Splice-altering	1	ADIPOR2
