Classification	Region
Splice	Acceptor Canonical
Splice	Donor Region
Splice	Exonic
Splice	Donor Region
Splice	Donor Region
Splice	Donor Exonic
Splice	Donor Exonic
Splice	Acceptor Canonical
Splice	Exonic
Splice	Deep Intronic
Splice	Acceptor Canonical
Splice	Acceptor Exonic
Splice	Donor Region
Splice	Deep Intronic
Low	Acceptor Region
Splice	Donor Canonical
Low	Donor Canonical
Splice	Deep Intronic
Low	Donor Canonical
Low	Donor Exonic
Splice	Donor Canonical
Low	Exonic
Splice	Acceptor Canonical
Splice	Donor Region
Splice	Acceptor Canonical
Splice	Donor Exonic
Splice	Donor Canonical
Splice	Donor Canonical
Splice	Acceptor Canonical
Splice	Acceptor Canonical
Splice	Exonic
Splice	Donor Exonic
Splice	Donor Canonical
Low	Donor Region
Splice	Exonic
Splice	Donor Canonical
Splice	Exonic
Splice	Donor Exonic
Splice	Acceptor Canonical
Splice	Donor Canonical
Low	Deep Intronic
Splice	Donor Region
Splice	Donor Canonical
Splice	Donor Exonic
Splice	Donor Canonical
Splice	Donor Exonic
Splice	Donor Canonical
Splice	Donor Exonic
Normal	Branchpoint
Normal	Branchpoint
Normal	Branchpoint
Normal	Exonic
Normal	Exonic
Normal	Exonic
Normal	Exonic
Normal	Exonic
Normal	Exonic
Normal	Exonic
Normal	Deep Intronic
Low	Deep Intronic
Normal	Deep Intronic
Normal	Deep Intronic
Normal	Deep Intronic
Normal	Deep Intronic
Low	Deep Intronic
Low	Deep Intronic
Low	Deep Intronic
Splice	Acceptor Region
Splice	Exonic
Conflicting	Exonic
Splice	Acceptor Canonical
Splice	Deep Intronic
Splice	Deep Intronic
Low	Donor Exonic
Splice	Exonic
Splice	Donor Region
Splice	Acceptor Canonical
Splice	Acceptor Canonical
Normal	Branchpoint
Normal	Branchpoint
Low	Branchpoint
Low	Branchpoint
Low	Branchpoint
Low	PPT
Splice	PPT
Low	Exonic
Low	Exonic
Low	Exonic
Normal	Exonic
Splice	Exonic
Low	Deep Intronic
Low	Deep Intronic
Normal	Deep Intronic
Low	Deep Intronic
Low	Deep Intronic
Splice	Exonic
Low	Acceptor Region
Splice	Acceptor Exonic
Low	Donor Exonic
Low	Donor Canonical
Low	Exonic
Normal	Deep Intronic
Normal	Deep Intronic
Low	Deep Intronic
Low	Deep Intronic
Low	Donor Exonic
Low	Exonic
Low	Exonic
Low	Exonic
Low	Exonic
Low	Exonic
Low	Exonic
Normal	Exonic
Low	Exonic
Low	Exonic
Low	Exonic
Normal	Exonic
Normal	Exonic
Normal	Exonic
Normal	Exonic
Low	Exonic
Low	Exonic
Low	Exonic
Normal	PPT
Low	Branchpoint
Low	Exonic
Splice	Donor Canonical
Splice	Donor Region
Splice	Donor Region
Splice	Donor Canonical
Low	Deep Intronic
Splice	Donor Exonic
Splice	Donor Canonical
Splice	Exonic
Splice	Acceptor Exonic
Low	Donor Exonic
Splice	Donor Canonical
